# $Id$
#
# This is the core listing of supported ellipsoids in GMT map projections.
# Please adhere to the format.
#
# This file is converted to gmt_ellipsoids.h by the guru's make process
# described in src/GNUmakefile. It also updates GMT_N_ELLIPSOIDS in
# gmt_dimensions.h. Changing this file at runtime has no affect.
#
# a:   Equatorial axis [m]
# b:   Polar axis [m]
# 1/f: Flattening = (a-b)/a
#
# Tab-ID		Year a [m]		1/f [m]		Info
#-------------------------------------------------------------------------------
Airy			1830 6377563.396	299.3249646	: Applies to Great Britain
Airy-Ireland		1830 6377340.189	299.3249646	: Applies to Ireland in 1965
Andrae			1876 6377104.43		300.0		: Applies to Denmark and Iceland
APL4.9			1965 6378137.0		298.25		: Appl. Physics
ATS77			1977 6378135.0		298.257		: Average Terrestrial System, Canada Maritime provinces
Australian		1965 6378160.0		298.25		: Applies to Australia
Bessel			1841 6377397.155	299.1528128	: Applies to Central Europe, Chile, Indonesia
Bessel-Namibia		1841 6377483.865	299.1528128	: Same as Bessel-Schwazeck
Bessel-NGO1948		1841 6377492.0176	299.15281	: Modified Bessel for NGO 1948
Bessel-Schwazeck	1841 6377483.865	299.1528128	: Applies to Namibia
Clarke-1858		1858 6378293.639	294.26068	: Clarke's early ellipsoid
Clarke-1866		1866 6378206.4		294.9786982	: Applies to North America, the Philippines
Clarke-1866-Michigan	1866 6378450.047484481	294.9786982	: Modified Clarke-1866 for Michigan
Clarke-1880		1880 6378249.145	293.465		: Applies to most of Africa, France
Clarke-1880-Arc1950	1880 6378249.145326	293.4663076	: Modified Clarke-1880 for Arc 1950
Clarke-1880-IGN		1880 6378249.2		293.4660213	: Modified Clarke-1880 for IGN
Clarke-1880-Jamaica	1880 6378249.136	293.46631	: Modified Clarke-1880 for Jamaica
Clarke-1880-Merchich	1880 6378249.2		293.46598	: Modified Clarke-1880 for Merchich
Clarke-1880-Palestine	1880 6378300.79		293.46623	: Modified Clarke-1880 for Palestine
CPM 			1799 6375738.7		334.29		: Comm. des Poids et Mesures, France
Delambre		1810 6376428.0		311.5		: Applies to Belgium
Engelis			1985 6378136.05		298.2566	: Goddard Earth Models
Everest-1830		1830 6377276.345	300.8017	: India, Burma, Pakistan, Afghanistan, Thailand
Everest-1830-Kalianpur	1830 6377301.243	300.80174	: Modified Everest for Kalianpur (1956)
