# Body and brain weight for various animals
# Table 7 in Rousseeuw & Leroy, 1987
# BodyWeight(kg)	BrainWeight(g)	Species
1.350		8.100		Mountain beaver
465.000		423.000		Cow
36.330		119.500		Gray wolf
27.660		115.000		Goat
1.040		5.500		Guinea pig
11700.000	50.000		Diplodocus
2547.000	4603.000	Asian elephant
187.100		419.00		Donkey
521.000		655.000		Horse
10.000		115.000		Potar monkey
3.300		26.600		Cat
529.000		680.000		Giraffe
207.000		406.000		Gorilla
62.000		1320.000	Human
6654.000	5712.000	African elephant
9400.000	70.000		Triceratops
6.800		179.000		Rhesus monkey
35.000		56.000		Kangaroo
0.120		1.000		Hamster
0.023		0.400		Mouse
2.500		12.100		Rabbit
55.500		175.000		Sheep
100.000		157.000		Jaguar
52.160		440.000		Chimpanzee
87000.000	154.500		Brachiosaurus
0.280		1.900		Rat
0.122		3.000		Mole
192.000		180.000		Pig
