# PLATE IDENTIFICATIONS FOR MULLER ET AL AREPS MODEL		
#		
# Plate Id	Code	Description
1	AHS	Atlantic-Indian hotspots
2	PHS	"Pacific Hotspots (Wessel JGR 2008, model WK08-A)"
3	PPH	Present-day Pacific hotspots
4	TPWC	True Polar Wander Correction
8	RHS	Reunion Hotspot 
9	KHS	Kerguelen Hotspot 
10	THS	Tristan Hotspot
11	SHH	St Helena Hotspot
12	GMH	Great Meteor Hotspot
28	IHS 	Iceland Hotspot
101	NAM	North America
102	GRN	Greenland
103	NSL	North Slope Alaska
104	MEX	Mexico
105	BAJ	Baja California
107	BIS	Baffin Island
108	AVA	Avalon/Acadia
109	PDM	Piedmont
110	ALR	Alpha Ridge/Cordillera
111	MNR	Mendeleyev Ridge
112	CHP	Chukchi Cap
113	NWR	Northwind Ridge
114	LMN	Lomonosov Ridge
116	MVR	Marvin Spur
117	LMN2	Lomonosov Ridge 2 
118	NSL2	North Slope Alaska 2 
120	CAIN	Canadian Arctic Islands North
121	ELA	South Ellesmere Island
122	ELB	South Central Ellesmere Island
123	ELC	North Central Ellesmere
124	ELD	North Ellesmere Island (Pearya)
127	FRP	Faeroe Plate
128	GV1	Trapped Greenland crust 1
129	GV2	Trapped Greenland crust 2
130	BAF	Baffin Bay
131	CCO	Cache Creek Ocean
132	CCO FLANK 2	Cache Creek Ocean
133	AT1	Arctic Terrane 1
134	AT2	Arctic Terrane 2
135	AT3	Arctic Terrane 3
140	PEN1	Peninsula Terrane 1
141	CAIS	Canadian Arctic Islands South (Ellesmerian Terrane)
154	LPA	Laurentia Parautochthon
173	PUM	Purcell Mountains
176	EKL	East Klamath 
178	RMG	Roberts Mnt and Golkonda
182	KNTT	"Koyukuk, Nyak, Togiak terranes"
183	MEG	Meguma
184	GAN	Ganderia
185	CAR	Carolinia
201	SAM	South America
202	PRB	Parana Basin
204	HON	Honduras/Chortis
205	YUC	Yucatan
208	CHI	Chiapas
209	CUC	Cuchumantanes
210	POM	Polochic/Motahua
211	SCR	Santa Cruz
212	GYP	Guayape
213	MGJ	Motagua/Jocotan
215	GUE	Guerrero
216	CYR	Cayman Ridge
222	JMC	Jamaica
224	COF	Caribbean Ocean Floor
225	MRB	Maricaibo
226	RML	Romeral
227	STM	Santa Marta
228	PRJ	Perija
229	EPN	Eastern Panama
230	CPN	Central Panama
231	WPN	Western Panama
233	FLS	Florida Straits Block
234	LAA	Lesser Antilles Arc
235	AVR	Aves Ridge
236	SCB	St. Christopher Block
237	PTR	Puerto Rico
252	SHI	Southern Hispaniola
253	SJH	San Juan/Hispaniola
254	HCO	Hispaniola Cordillera
255	NHI	Northern Hispaniola
263	PAT	Patagonia
274	NCT	North Cuban Thrust Sheets
275	SCT	South Cuban Thrust Sheets
280	NPM2	North Patagonian Massif2
283	NPM	North Patagonian Massif
288	FLI	Falkland Islands
290	SSP	Salado Subplate
291	RAW	Rawson Block
293	EMEB	East of Maurice Ewing Bank
294	FP	Falkland Plateau (North Weddell Sea)
295	CMR	Comorin Ridge
296	NIP	Northern Indian Protocontinent
297	SVP	Saurashtra Volcanic Platform
298	GMI	Greater-Mascarene-India (Northern flank of Mascarene Basin)
301	EUR	Northern European Craton
302	BAL	Baltic Shield
304	IBR	Iberia
305	CEU	Central Europe (Armorica and Moldanubia)
306	COR	Corsica
307	ADR	Adria
308	DIN	Eastern Dinaride Platform
309	WSV	West Svalbard
311	BAR	Barentsia and East Svalbard
312	IUA	Iberia Upper Allochthon
313	LED	LŽon Domain
314	MGCR	Mid German Crystalline Rise
315	ENG	South England (East Avalonia)
317	POR	Porcupine
318	RKL	Rockall
