# $Id$
#
# List of Datums available in GMT
# The (Dx,Dy,Dz) values are in meters relative to WGS-84
# To add more datumes, add new records, and run
#
# make gmt_datums.h
#
#Datum-name	Ellipsoid	Dx	Dy	Dz	Region
Adindan	Clarke-1880	-118	-14	218	Burkina Faso
Adindan	Clarke-1880	-134	-2	210	Cameroon
Adindan	Clarke-1880	-165	-11	206	Ethiopia
Adindan	Clarke-1880	-123	-20	220	Mali
Adindan	Clarke-1880	-166	-15	204	MEAN FOR Ethiopia; Sudan
Adindan	Clarke-1880	-128	-18	224	Senegal
Adindan	Clarke-1880	-161	-14	205	Sudan
Afgooye	Krassovsky	-43	-163	45	Somalia
Ain el Abd 1970	International-1924	-150	-250	-1	Bahrain
Ain el Abd 1970	International-1924	-143	-236	7	Saudi Arabia
American Samoa 1962	Clarke-1866	-115	118	426	American Samoa Islands
Anna 1 Astro 1965	Australian	-491	-22	435	Cocos Islands
Antigua Island Astro 1943	Clarke-1880	-270	13	62	Antigua (Leeward Islands)
Arc 1950	Clarke-1880	-138	-105	-289	Botswana
Arc 1950	Clarke-1880	-153	-5	-292	Burundi
Arc 1950	Clarke-1880	-125	-108	-295	Lesotho
Arc 1950	Clarke-1880	-161	-73	-317	Malawi
Arc 1950	Clarke-1880	-143	-90	-294	MEAN FOR Botswana; Lesotho; Malawi; Swaziland; Zaire; Zambia; Zimbabwe
Arc 1950	Clarke-1880	-134	-105	-295	Swaziland
Arc 1950	Clarke-1880	-169	-19	-278	Zaire
Arc 1950	Clarke-1880	-147	-74	-283	Zambia
Arc 1950	Clarke-1880	-142	-96	-293	Zimbabwe
Arc 1960	Clarke-1880	-160	-6	-302	MEAN FOR Kenya; Tanzania
Arc 1960	Clarke-1880	-157	-2	-299	Kenya
Arc 1960	Clarke-1880	-175	-23	-303	Taanzania
Ascension Island 1958	International-1924	-205	107	53	Ascension Island
Astro Beacon E 1945	International-1924	145	75	-272	Iwo Jima
Astro DOS 71/4	International-1924	-320	550	-494	St Helena Island
Astro Tern Island (FRIG) 1961	International-1924	114	-116	-333	Tern Island
Astronomical Station 1952	International-1924	124	-234	-25	Marcus Island
Australian Geodetic 1966	Australian	-133	-48	148	Australia; Tasmania
Australian Geodetic 1984	Australian	-134	-48	149	Australia; Tasmania
Ayabelle Lighthouse	Clarke-1880	-79	-129	145	Djibouti
Bellevue (IGN)	International-1924	-127	-769	472	Efate & Erromango Islands
Bermuda 1957	Clarke-1866	-73	213	296	Bermuda
Bissau	International-1924	-173	253	27	Guinea-Bissau
Bogota Observatory	International-1924	307	304	-318	Colombia
Bukit Rimpah	Bessel	-384	664	-48	Indonesia (Bangka & Belitung Ids)
Camp Area Astro	International-1924	-104	-129	239	Antarctica (McMurdo Camp Area)
Campo Inchauspe	International-1924	-148	136	90	Argentina
Canton Astro 1966	International-1924	298	-304	-375	Phoenix Islands
Cape	Clarke-1880	-136	-108	-292	South Africa
Cape Canaveral	Clarke-1866	-2	151	181	Bahamas; Florida
Carthage	Clarke-1880	-263	6	431	Tunisia
Chatham Island Astro 1971	International-1924	175	-38	113	New Zealand (Chatham Island)
Chua Astro	International-1924	-134	229	-29	Paraguay
Corrego Alegre	International-1924	-206	172	-6	Brazil
Dabola	Clarke-1880	-83	37	124	Guinea
Datum 73	International-1924	-223.237	110.193	36.649	Portugal
Datum Lisboa	International-1924	-304.046	-60.576	103.640	Portugal
Deception Island	Clarke-1880	260	12	-147	Deception Island; Antarctia
Djakarta (Batavia)	Bessel	-377	681	-50	Indonesia (Sumatra)
DOS 1968	International-1924	230	-199	-752	New Georgia Islands (Gizo Island)
Easter Island 1967	International-1924	211	147	111	Easter Island
Estonia; Coordinate System 1937	Bessel	374	150	588	Estonia
European 1950	International-1924	-104	-101	-140	Cyprus
European 1950	International-1924	-130	-117	-151	Egypt
European 1950	International-1924	-86	-96	-120	England; Channel Islands; Scotland; Shetland Islands
European 1950	International-1924	-86	-96	-120	England; Ireland; Scotland; Shetland Islands
European 1950	International-1924	-87	-95	-120	Finland; Norway
European 1950	International-1924	-84	-95	-130	Greece
European 1950	International-1924	-117	-132	-164	Iran
European 1950	International-1924	-97	-103	-120	Italy (Sardinia)
European 1950	International-1924	-97	-88	-135	Italy (Sicily)
European 1950	International-1924	-107	-88	-149	Malta
European 1950	International-1924	-87	-98	-121	MEAN FOR Austria; Belgium; Denmark; Finland;France; W Germany; Gibraltar; Greece; Italy; Luxembourg; Netherlands;Norway; Portugal; Spain; Sweden; Switzerland
European 1950	International-1924	-87	-96	-120	MEAN FOR Austria; Denmark; France; W Germany; Netherlands; Switzerland
European 1950	International-1924	-103	-106	-141	MEAN FOR Iraq; Israel; Jordan; Lebanon; Kuwait; Saudi Arabia; Syria
European 1950	International-1924	-86.277	-108.879	-120.181	Portugal; Spain
European 1950	International-1924	-112	-77	-145	Tunisia
European 1979	International-1924	-86	-98	-119	MEAN FOR Austria; Finland; Netherlands; Norway; Spain; Sweden; Switzerland
Fort Thomas 1955	Clarke-1880	-7	215	225	Nevis; St. Kitts (Leeward Islands)
Gan 1970	International-1924	-133	-321	50	Republic of Maldives
Geodetic Datum 1949	International-1924	84	-22	209	New Zealand
Graciosa Base SW 1948	International-1924	-111.789	154.869	-44.765	Azores (Faial; Graciosa; Pico; Sao Jorge; Terceira)
Guam 1963	Clarke-1866	-100	-248	259	Guam
Gunung Segara	Bessel	-403	684	41	Indonesia (Kalimantan)
GUX 1 Astro	International-1924	252	-209	-751	Guadalcanal Island
Herat North	International-1924	-333	-222	114	Afghanistan
Hermannskogel Datum	Bessel (Namibia)	653	-212	449	Croatia -Serbia, Bosnia-Herzegovina
Hjorsey 1955	International-1924	-73	46	-86	Iceland
Hong Kong 1963	International-1924	-156	-271	-189	Hong Kong
Hu-Tzu-Shan	International-1924	-637	-549	-203	Taiwan
Indian	Everest-1830	282	726	254	Bangladesh
Indian	Everest-1830-Kalianpur	295	736	257	India; Nepal
Indian	Everest-1830-Pakistan	283	682	231	Pakistan
Indian 1954	Everest-1830	217	823	299	Thailand
Indian 1960	Everest-1830	182	915	344	Vietnam (Con Son Island)
Indian 1960	Everest-1830	198	881	317	Vietnam (Near 16N)
Indian 1975	Everest-1830	210	814	289	Thailand
Indonesian	Indonesian	-24	-15	5	Indonesia
Ireland 1965	Modified-Airy	506	-122	611	Ireland
ISTS 061 Astro 1968	International-1924	-794	119	-298	South Georgia Islands
ISTS 073 Astro 1969	International-1924	208	-435	-229	Diego Garcia
Johnston Island 1961	International-1924	189	-79	-202	Johnston Island
Kandawala	Everest-1830	-97	787	86	Sri Lanka
Kerguelen Island 1949	International-1924	145	-187	103	Kerguelen Island
Kertau 1948	Everest-1830-Kertau	-11	851	5	West Malaysia & Singapore
Kusaie Astro 1951	International-1924	647	1777	-1124	Caroline Islands
Korean Geodetic System	GRS-80	0	0	0	South Korea
L. C. 5 Astro 1961	Clarke-1866	42	124	147	Cayman Brac Island
Leigon	Clarke-1880	-130	29	364	Ghana
Liberia 1964	Clarke-1880	-90	40	88	Liberia
Luzon	Clarke-1866	-133	-77	-51	Philippines (Excluding Mindanao)
Luzon	Clarke-1866	-133	-79	-72	Philippines (Mindanao)
M'Poraloko	Clarke-1880	-74	-130	42	Gabon
Macau	International-1924	-203.792	-303.371	-154.020	Macau
