# $Id: fix_in_1.10.txt,v 1.1 2009-06-05 06:09:12 guru Exp $
# These are the polygons to fix in the lower resolutions.  To fix, we will:
# a) if L then reverse polygon and edit level
# b) if D then change dateline value
# c) if W|E|S|N the update west|east|south|north
# d) if # or # P then run shrink on the full polygon and UPDATE feature in res database
# e) if - then run shrink on the full polygon and ADD feature to res database
# Place a Y in last (Fixed?) column when this is accomplished.
#---------------------------------------------------------------------------------------
Full	High	Int	Low	Crude	Area	Parent	River	Problem	Fixed?
1	1	1	1	1	3.8e+07	X	0	#
33	29	21	12	8	28343.7	1	1	# E
110	124	91	69	80	5309.18	0	0	#
206	174	135	112	74	26997.2	1	0	#
466	245	182	184	134	1650.45	1	1	#
566	919	1106	888	1387	963.642	0	0	#
627	2147	11394	6075	1343	21.3705	X	0	D
722	461	362	192	229	1449.54	1	0	#
869	422	309	342	212	2039.71	0	0	#
1046	871	570	375	752	1600.22	1	1	# P
1522	1264	1148	1156	1839	843.988	1	1	# N P
1808	1239	1113	1224	568	441.565	1	0	# P
1979	833	1048	578	607	208.696	0	0	#
2873	2039	1615	4402	787	139.434	0	1	# W P
4457	2618	1977	1248	X	92.6449	1	0	#
4538	10477	20995	6076	X	13.1972	X	0	D
5002	2047	1537	2315	X	109.875	0	0	# P
5336	4010	3217	2364	1183	250.911	1	0	L
5842	4750	5810	3252	1228	201.316	1	0	L
5845	4874	3486	2480	X	69.5313	1	0	# P
8167	4497	3224	2326	X	142.784	0	0	#
8373	4739	3270	3668	X	84.4814	1	0	#
8383	9042	12431	8358	X	52.7923	1	0	L
10265	20588	15984	X	X	2.23861	X	0	#
11430	7710	6586	3897	X	89.8497	1	0	L
13159	7287	6909	4055	X	33.4996	1	0	L
13512	13295	10264	9987	X	49.6386	1	0	L
14122	10431	8494	X	X	25.4937	4	0	#
14647	10420	9015	10181	X	35.149	1	0	L
15250	10480	8355	10297	X	24.8356	1	0	L
18173	14793	10473	4715	X	26.5799	1	0	L
20495	8663	20421	5097	X	24.7568	0	0	# P
20506	12547	10755	5100	X	16.8923	1	0	L
22012	11289	10855	X	X	22.1857	1	0	L
23390	13518	10913	X	X	3.64425	0	0	# E
25844	14554	20159	5568	X	13.2159	1	0	L
27349	14909	9004	X	X	11.5643	94	0	L
27893	16224	18732	X	X	13.7429	1	0	L
31683	44483	29972	X	X	1.08742	X	0	L
71241	22672	40421	X	X	2.19901	8181	0	# P
188605	X	X	X	X	38436.8	X	0	-
188606	X	X	X	X	34.2831	X	0	-
188607	X	X	X	X	68.2852	X	0	-
188608	X	X	X	X	289.753	X	0	-
188609	X	X	X	X	223.553	X	0	-
188610	X	X	X	X	19.6698	X	0	-
188611	X	X	X	X	49.8179	X	0	-
188612	X	X	X	X	429.38	X	0	-
188613	X	X	X	X	124.041	X	0	-
188614	X	X	X	X	51.3396	X	0	-
188615	X	X	X	X	3974.44	X	0	-
